simple-movie KNN
0.0013 ,0.0062 ,0.0011 ,
0.0006 ,0.0038 ,0.0005 ,
0.0005 ,0.0038 ,0.0005 ,
0.0007 ,0.0036 ,0.0005 ,
0.0006 ,0.0041 ,0.0012 ,
0.0006 ,0.0045 ,0.0006 ,
0.0004 ,0.0027 ,0.0005 ,
0.0005 ,0.0037 ,0.0004 ,
0.0005 ,0.0018 ,0.0004 ,
books KNN
3.9092 ,5.618 ,4.1186 ,
3.7911 ,5.222 ,4.0984 ,
3.7406 ,5.374 ,4.4596 ,
3.7671 ,5.223 ,4.0089 ,
3.7197 ,5.0105 ,4.2347 ,
3.7115 ,4.8958 ,4.0465 ,
3.6728 ,5.2779 ,4.0133 ,
3.7084 ,4.6607 ,4.4727 ,
3.7197 ,4.6398 ,4.09 ,
movie-lens-small KNN
0.0828 ,0.1324 ,0.0827 ,
0.0748 ,0.1159 ,0.0758 ,
0.0748 ,0.1151 ,0.0837 ,
0.0715 ,0.1147 ,0.0868 ,
0.073 ,0.1151 ,0.0918 ,
0.0721 ,0.113 ,0.087 ,
0.0716 ,0.1115 ,0.078 ,
0.071 ,0.1107 ,0.0795 ,
0.0703 ,0.1092 ,0.0797 ,
movie-lens KNN
22.324 ,32.7438 ,23.4701 ,
21.991 ,31.8151 ,22.946 ,
22.2701 ,32.2494 ,23.0438 ,
23.1376 ,31.8702 ,23.4792 ,
23.068 ,31.6294 ,22.7502 ,
23.28 ,31.8924 ,22.6667 ,
22.0425 ,30.717 ,21.922 ,
23.0657 ,31.2207 ,21.8596 ,
22.8628 ,30.868 ,22.0527 ,

simple-movie USER
0.0006 ,0.0021 ,0.0005 ,
0.0004 ,0.0016 ,0.0004 ,
0.0005 ,0.0015 ,0.0005 ,
0.0005 ,0.0017 ,0.0004 ,
0.0005 ,0.0013 ,0.0004 ,
0.0004 ,0.0015 ,0.0005 ,
0.0004 ,0.0016 ,0.0004 ,
0.0005 ,0.0016 ,0.0005 ,
books USER
3.7637 ,4.678 ,4.0857 ,
3.694 ,4.7735 ,4.1075 ,
3.6803 ,4.7086 ,4.1762 ,
3.7317 ,4.9376 ,4.2466 ,
3.7446 ,4.8009 ,4.2118 ,
3.7442 ,5.3375 ,4.0442 ,
3.7201 ,5.2038 ,4.3302 ,
3.715 ,4.819 ,4.1604 ,
movie-lens-small USER
0.074 ,0.1154 ,0.0901 ,
0.076 ,0.1138 ,0.0883 ,
0.0791 ,0.1124 ,0.0746 ,
0.0802 ,0.1175 ,0.0791 ,
0.0793 ,0.1179 ,0.0829 ,
0.0799 ,0.1404 ,0.0748 ,
0.0779 ,0.1187 ,0.085 ,
0.0775 ,0.117 ,0.0763 ,
movie-lens USER
22.5821 ,32.1211 ,22.4149 ,
22.5071 ,33.5144 ,22.4023 ,
22.3552 ,32.8807 ,22.3651 ,
25.6776 ,37.2479 ,22.9374 ,
22.5994 ,42.6764 ,24.5309 ,
22.4207 ,42.8933 ,23.9827 ,
22.6643 ,41.6674 ,22.6375 ,
22.7458 ,40.3981 ,22.7212 ,

simple-movie ITEM
0.0021 ,0.0034 ,0.0037 ,
0.0008 ,0.0015 ,0.0014 ,
0.0013 ,0.002 ,0.0018 ,
0.0006 ,0.0011 ,0.0007 ,
0.0014 ,0.0025 ,0.0026 ,
0.0007 ,0.0029 ,0.0014 ,
books ITEM
3.2409 ,3.3082 ,3.5546 ,
0.575 ,0.4879 ,0.489 ,
2.4659 ,2.6857 ,2.872 ,
0.1424 ,0.1269 ,0.1335 ,
2.1203 ,2.2688 ,2.4188 ,
0.0035 ,0.0029 ,0.0028 ,
movie-lens-small ITEM
0.1041 ,0.1538 ,0.1509 ,
0.084 ,0.1494 ,0.1406 ,
0.0476 ,0.0877 ,0.0864 ,
0.0335 ,0.0406 ,0.0428 ,
0.023 ,0.0271 ,0.0293 ,
0.0042 ,0.0048 ,0.0047 ,
movie-lens ITEM
67.7185 ,46.0981 ,35.6709 ,
65.0941 ,42.1229 ,31.5297 ,
43.7371 ,35.6942 ,22.1582 ,
41.6416 ,27.9068 ,19.197 ,
5.2374 ,3.9091 ,2.408 ,
3.5551 ,2.2066 ,1.4732 ,
